,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,id,index
0,8,0,11,16,52,138,230,235,665,902,970,1001,1037,1119,1137,1035,863,670,520,379,240,171,101,45,14232.0,8601.0
0,72,24,1,1,20,186,917,1959,3850,5463,6501,8365,8240,7051,6250,5624,4872,3853,2977,2369,1701,1039,549,334,14357.0,8681.0
0,0,0,0,0,0,34,141,281,403,650,742,808,846,816,778,728,632,425,238,91,21,2,0,0,14399.0,8699.0
0,0,0,0,0,0,0,0,0,0,35,41,38,35,41,44,38,20,8,0,0,0,0,0,0,14586.0,8823.0
0,0,0,0,0,0,37,100,238,258,375,1759,2372,2567,2496,2258,2174,2228,2149,1919,1157,441,69,8,4,14634.0,8860.0
0,0,0,0,0,0,0,55,176,408,799,853,883,854,736,651,589,541,522,384,227,106,16,1,0,14718.0,8919.0
0,11,5,5,2,2,99,296,515,749,944,1208,1483,1416,1282,1242,1294,1402,1320,1132,893,602,354,150,47,14729.0,8925.0
0,55,24,6,1,4,147,210,516,1064,1484,1973,3192,3222,2963,2883,3090,3427,3556,3174,2632,1864,986,435,181,14748.0,8938.0
0,0,0,0,0,0,22,39,294,275,247,269,262,237,223,226,197,150,88,68,45,22,5,0,0,14800.0,8976.0
0,0,0,0,0,0,0,33,287,801,1067,1151,1226,1260,1180,998,784,582,319,150,58,12,0,0,0,14859.0,9014.0
0,0,0,0,0,13,48,93,109,256,468,548,628,695,716,742,792,800,771,581,405,254,131,61,17,14917.0,9053.0
0,55,35,30,34,39,46,84,107,365,797,1005,1356,1369,1267,1129,1199,1182,1134,972,752,627,528,299,124,15243.0,9278.0
0,0,0,0,0,0,51,124,195,219,330,366,377,420,325,268,219,175,166,141,86,54,27,11,3,15279.0,9297.0
0,40,19,0,0,0,16,28,310,484,635,724,831,883,868,813,787,807,756,634,436,235,110,81,85,15325.0,9327.0
0,40,30,14,17,54,142,346,503,798,1333,1783,1977,2046,1939,1863,1886,1938,1902,1676,1212,672,328,150,100,15464.0,9421.0
0,0,0,0,0,0,13,66,108,158,298,332,370,369,335,370,420,335,351,251,158,49,6,0,0,15544.0,9466.0
0,0,0,0,0,0,70,64,0,32,32,39,39,25,14,21,17,0,0,0,0,0,0,0,0,15780.0,9615.0
0,2,2,2,16,23,152,359,670,1361,1833,2113,2421,2298,2167,2151,1947,1807,1508,1196,761,370,92,4,2,15783.0,9617.0
0,52,10,2,2,2,118,487,893,1682,1778,2035,2612,2792,2718,2537,2480,2678,3055,3089,2315,1395,671,279,134,15916.0,9704.0
0,0,0,0,0,0,0,0,0,0,26,40,53,66,66,60,46,40,46,53,26,0,0,0,0,15928.0,9714.0
0,0,0,0,0,0,2,8,14,50,50,54,65,73,58,47,43,49,56,44,27,8,2,0,0,15944.0,9726.0
0,6,10,20,42,67,82,87,146,297,432,448,535,520,485,506,444,367,327,289,189,127,82,29,6,16054.0,9803.0
0,6,10,20,42,67,141,147,127,149,156,138,108,91,81,110,137,166,162,130,107,105,82,29,6,16055.0,9804.0
0,31,19,16,26,71,144,174,261,314,376,459,560,673,741,731,710,644,564,535,495,321,175,80,37,16072.0,9816.0
0,8,4,4,0,17,51,106,231,896,1164,1102,1127,1074,1039,1067,999,641,306,290,243,132,37,12,4,16082.0,9824.0
0,148,55,2,2,10,54,152,554,1196,1519,1673,2170,2151,2012,1900,1938,2023,1953,1723,1424,991,613,291,159,16131.0,9856.0
0,0,0,0,0,0,110,396,632,1180,1627,1844,1931,1842,1746,1708,1777,1751,1515,933,510,237,124,37,13,16222.0,9910.0
0,12,12,12,12,17,41,157,378,741,960,1243,1421,1443,1288,1122,1133,1235,1218,944,600,293,102,21,21,16374.0,10018.0
0,0,0,0,0,0,18,89,393,618,1063,1114,1178,1170,1138,1096,1173,1066,632,287,167,84,29,6,0,16456.0,10073.0
0,170,71,1,1,12,123,498,1384,3242,4859,6360,8779,8789,7622,6716,6296,6202,5737,5188,4275,3005,1795,994,602,16743.0,10280.0
0,1,1,1,1,5,13,22,31,38,124,124,123,122,114,97,93,107,60,25,1,1,1,1,1,16756.0,10291.0
0,0,0,0,0,0,0,0,0,0,0,17,20,22,22,19,16,11,0,0,0,0,0,0,0,16897.0,10385.0
0,0,0,0,4,4,46,110,98,236,536,630,604,600,709,799,709,614,447,334,217,129,11,4,4,16908.0,10390.0
0,0,0,0,0,0,0,0,86,363,461,446,454,480,429,366,330,246,80,28,11,0,0,0,0,16909.0,10391.0
0,0,0,0,0,0,0,0,0,342,410,382,427,421,425,391,334,260,233,179,114,42,0,0,0,17043.0,10453.0
0,8,11,26,1,8,209,621,915,1067,1331,1654,3097,3045,2183,1698,1681,2032,2357,2058,1341,755,416,130,46,17227.0,10573.0
